Created,Ticket,Category,Location,Score,Comment,Time lost,Department,Language,Sent Date,Channel,Company,Reassigment Count,Assigment Group ,Priority,Country,CI,Ticket Type,Enterprise,Second Category,Third Category,Region,External Ticket,Top Company,Sub. Company,IT Support Profiles,Extra Data,Referrer URL,Referrer Title,ID,Factor
2020/06/12,,,Glasgow,10,Re-engineered bottom-line instruction set,1981,Kids,Swati,9/11/2019,,,3,,,GB,Trippledex,,,,,,,,,,,,,4814,Nulla ut erat id mauris vulputate elementum.
2019/08/17,,,Stapleford,7,Reduced dedicated concept,2972,Outdoors,Nepali,12/7/2019,,,14,,,GB,Konklux,,,,,,,,,,,,,3854,Mauris ullamcorper purus sit amet nulla.
2019/12/23,,,Milton,5,Virtual bottom-line process improvement,2850,Garden,Maltese,9/4/2020,,,5,,,GB,Cardify,,,,,,,,,,,,,1083,Aliquam non mauris. Morbi non lectus.
2019/12/22,,,Church End,4,Customizable attitude-oriented middleware,4056,Computers,Swati,3/19/2020,,,15,,,GB,Bamity,,,,,,,,,,,,,2097,Proin at turpis a pede posuere nonummy. Integer non velit.
2019/11/29,,,Sutton,9,Total 3rd generation framework,3204,Tools,Punjabi,5/13/2020,,,3,,,GB,Regrant,,,,,,,,,,,,,4336,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
2020/04/27,,,Buckland,5,Vision-oriented logistical attitude,3832,Outdoors,Croatian,1/4/2020,,,3,,,GB,Voyatouch,,,,,,,,,,,,,1950,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
2020/03/10,,,London,4,Customer-focused asynchronous customer loyalty,2994,Baby,Korean,3/20/2020,,,14,,,GB,Vagram,,,,,,,,,,,,,4196,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
2020/01/30,,,Milton,1,Organized asymmetric paradigm,696,Industrial,Swedish,2/10/2020,,,4,,,GB,Home Ing,,,,,,,,,,,,,4589,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
2020/09/03,,,Belfast,7,Innovative tertiary alliance,659,Shoes,Aymara,9/5/2019,,,15,,,GB,Span,,,,,,,,,,,,,1359,Nunc purus. Phasellus in felis.
2020/05/12,,,Dean,8,Fully-configurable reciprocal software,335,Automotive,Gagauz,5/15/2020,,,13,,,GB,Home Ing,,,,,,,,,,,,,3524,Duis consequat dui nec nisi volutpat eleifend.
2020/02/17,,,Milton,6,Optional holistic adapter,3811,Grocery,Swahili,8/27/2020,,,6,,,GB,Latlux,,,,,,,,,,,,,3533,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
2020/03/10,,,Twyford,10,Fundamental object-oriented help-desk,1111,Shoes,Finnish,9/7/2020,,,13,,,GB,Zaam-Dox,,,,,,,,,,,,,3913,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
2020/02/05,,,Ashley,1,Upgradable scalable hierarchy,3000,Industrial,Gujarati,1/29/2020,,,11,,,GB,Konklab,,,,,,,,,,,,,2296,Suspendisse accumsan tortor quis turpis. Sed ante.
2019/12/03,,,East End,1,Automated interactive website,4257,Clothing,Chinese,10/24/2019,,,14,,,GB,Tresom,,,,,,,,,,,,,2870,Mauris sit amet eros.
2020/01/26,,,Carlton,3,Seamless fresh-thinking alliance,864,Movies,Swati,1/7/2020,,,12,,,GB,Tampflex,,,,,,,,,,,,,406,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
2020/08/16,,,Milton,5,Programmable optimal neural-net,1143,Music,Oriya,11/12/2019,,,3,,,GB,Temp,,,,,,,,,,,,,3,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
2019/11/28,,,Milton,6,Inverse optimizing artificial intelligence,2301,Clothing,New Zealand Sign Language,3/25/2020,,,0,,,GB,Lotstring,,,,,,,,,,,,,4032,Ut at dolor quis odio consequat varius.
2019/12/03,,,Carlton,3,Secured solution-oriented implementation,3235,Kids,Sotho,7/10/2020,,,3,,,GB,Namfix,,,,,,,,,,,,,1646,Donec dapibus.
2020/07/14,,,Kingston,2,Organized heuristic solution,4154,Computers,Fijian,9/21/2019,,,4,,,GB,Flexidy,,,,,,,,,,,,,2876,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
2020/05/13,,,Birmingham,5,Polarised bifurcated definition,2753,Games,Somali,1/15/2020,,,15,,,GB,Lotlux,,,,,,,,,,,,,667,In eleifend quam a odio.
2020/09/03,,,Whitchurch,3,Configurable web-enabled policy,2533,Music,Maltese,3/24/2020,,,4,,,GB,Prodder,,,,,,,,,,,,,968,Nulla tempus.
2020/09/06,,,Langley,3,Up-sized multi-state parallelism,2646,Automotive,Hebrew,12/17/2019,,,6,,,GB,Fixflex,,,,,,,,,,,,,1990,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
2019/09/07,,,Birmingham,4,Synergistic foreground website,1517,Beauty,Korean,10/5/2019,,,10,,,GB,Bitchip,,,,,,,,,,,,,1810,Duis bibendum.
2020/09/02,,,Twyford,3,Enhanced dynamic alliance,3461,Baby,Spanish,6/28/2020,,,12,,,GB,Zoolab,,,,,,,,,,,,,4924,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
2019/09/10,,,Birmingham,3,Customizable client-server definition,2187,Baby,Tetum,11/25/2019,,,4,,,GB,Bigtax,,,,,,,,,,,,,2575,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
2020/03/08,,,Newton,10,User-friendly holistic access,66,Grocery,Marathi,4/13/2020,,,9,,,GB,Hatity,,,,,,,,,,,,,2805,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
2019/11/25,,,Kinloch,3,Profit-focused modular initiative,3043,Clothing,Malay,3/16/2020,,,13,,,GB,Alphazap,,,,,,,,,,,,,1981,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
2020/03/23,,,Sheffield,8,Intuitive multimedia circuit,1514,Games,Albanian,8/20/2019,,,0,,,GB,Daltfresh,,,,,,,,,,,,,1707,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
2019/12/25,,,Twyford,3,Synchronised fresh-thinking complexity,3649,Electronics,Macedonian,9/7/2020,,,8,,,GB,Flowdesk,,,,,,,,,,,,,4488,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
2020/02/25,,,Whitchurch,3,Total grid-enabled capacity,1098,Computers,Papiamento,9/6/2019,,,5,,,GB,Flowdesk,,,,,,,,,,,,,2985,Proin at turpis a pede posuere nonummy.
2020/04/20,,,Twyford,10,Total systematic model,4530,Outdoors,Finnish,11/18/2019,,,9,,,GB,Pannier,,,,,,,,,,,,,2980,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
2020/05/24,,,Norton,8,Fully-configurable 5th generation portal,4170,Shoes,Hiri Motu,10/9/2019,,,6,,,GB,Pannier,,,,,,,,,,,,,4888,In hac habitasse platea dictumst.
2019/11/03,,,Carlton,5,Monitored eco-centric structure,1917,Tools,Malayalam,2/2/2020,,,6,,,GB,Stringtough,,,,,,,,,,,,,2799,Nulla facilisi.
2019/09/25,,,West End,4,Open-source bifurcated protocol,3094,Garden,Nepali,6/19/2020,,,5,,,GB,Span,,,,,,,,,,,,,774,Nulla ac enim.
2019/11/29,,,Liverpool,6,Phased executive success,3843,Electronics,Bengali,9/30/2019,,,5,,,GB,Zaam-Dox,,,,,,,,,,,,,522,Ut at dolor quis odio consequat varius.
2020/06/12,,,Tullich,7,Adaptive logistical product,1760,Games,Bislama,3/25/2020,,,11,,,GB,Voltsillam,,,,,,,,,,,,,1553,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
2019/12/11,,,Merton,10,Automated mission-critical conglomeration,1820,Grocery,Marathi,7/10/2020,,,15,,,GB,Vagram,,,,,,,,,,,,,1038,Nullam varius. Nulla facilisi.
